packet_version,presentation_order,review_scenario_id,record_origin,cvss_base_vector,cvss_base_score,cvss_base_severity,asset_class,availability_requirement,compensating_controls,confidentiality_requirement,deployment_context,evidence_links,evidence_summary,integrity_requirement,internet_exposure,privilege_context,supplemental_context,threat_context
A,11,ER-BA1EE5365CF7,controlled_synthetic_scenario,CVSS:4.0/AV:P/AC:H/AT:P/PR:H/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2.1,LOW,isolated_lab_system,AR:L - availability is low because outage has limited operational effect.,"Network isolation, no production data, rebuildable images.",CR:L - confidentiality is low because no production data is expected.,Non-production lab system isolated from production networks.,local://curated-scenario/SCN-SYN-030; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for isolated_lab_system; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:L - integrity is low because lab state is disposable.,isolated,"Local lab accounts only, no production credentials.",Recovery is likely favorable because lab systems are rebuildable.,Synthetic scenario; threat context is not authoritative and requires review.
A,12,ER-11BE2E9CB540,controlled_synthetic_scenario,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,6.8,MEDIUM,database_server,AR:H - availability is high because dependent business processes may stop.,"Network isolation, backups, encryption at rest, privileged access logging.",CR:H - confidentiality is high because regulated records may be stored.,Backend database storing regulated business records.,local://curated-scenario/SCN-SYN-028; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for database_server; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because records are authoritative.,internal,Access limited to application service accounts and database administrators.,Recovery may be relevant because backups and restore time affect operational impact.,Synthetic scenario; threat context is not authoritative and requires review.
A,13,ER-757ABFCA14EA,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:H/SI:H/SA:L,8.7,HIGH,isolated_lab_system,AR:L - availability is low because outage has limited operational effect.,"Network isolation, no production data, rebuildable images.",CR:L - confidentiality is low because no production data is expected.,Non-production lab system isolated from production networks.,local://curated-scenario/SCN-SYN-014; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for isolated_lab_system; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:L - integrity is low because lab state is disposable.,isolated,"Local lab accounts only, no production credentials.",Recovery is likely favorable because lab systems are rebuildable.,Synthetic scenario; threat context is not authoritative and requires review.
A,14,ER-7ED914595EA9,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,9.3,CRITICAL,identity_provider,AR:H - availability is high because authentication outage affects many services.,"MFA, conditional access, monitoring, secrets rotation, incident response playbooks.",CR:H - confidentiality is high because identity data and tokens may be affected.,Identity and access management component used by multiple internal systems.,local://curated-scenario/SCN-SYN-019; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for identity_provider; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because identity compromise may affect trust decisions.,restricted,Authentication boundary component with privileged integration tokens.,Value density and provider urgency may be important because identity systems concentrate risk.,Synthetic scenario; threat context is not authoritative and requires review.
A,15,ER-B3331A056253,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:H/AT:P/PR:L/UI:A/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,4.8,MEDIUM,ot_monitoring_gateway,AR:H - availability is high because monitoring loss may affect operations.,"Network segmentation, allow-listing, monitoring, maintenance window constraints.",CR:M - confidentiality is medium because operational telemetry may be sensitive.,Operational technology monitoring gateway connected to industrial telemetry.,local://curated-scenario/SCN-SYN-023; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for ot_monitoring_gateway; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because telemetry may influence operational decisions.,internal,Restricted operator and service accounts.,Safety and recovery should be reviewed as supplemental context.,Synthetic scenario; threat context is not authoritative and requires review.
A,16,ER-DAB1A70B79BF,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.9,HIGH,internal_admin_console,AR:M - availability is medium due to operational dependency.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,Internal administrative interface restricted to VPN and privileged operators.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: internal_admin_console.,IR:H - integrity is high because admin actions may alter production configuration.,restricted,Administrative role required after VPN authentication.,Recovery and provider urgency may support operational discussion.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,17,ER-1CB3CA2FC175,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:H/AT:P/PR:L/UI:A/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,4.8,MEDIUM,public_web_application,AR:M - availability is medium because outage affects customer access but has fallback operations.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,Customer-facing web application handling authenticated user data.,local://curated-scenario/SCN-SYN-017; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for public_web_application; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because application state may affect user transactions.,public,Externally reachable service with standard user accounts.,Automatable and provider urgency should be reviewed if official supplemental data exists.,Synthetic scenario; threat context is not authoritative and requires review.
A,18,ER-C2EFC8028CEB,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:H/SI:H/SA:L,8.7,HIGH,internal_admin_console,AR:M - availability is medium due to operational dependency.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,Internal administrative interface restricted to VPN and privileged operators.,local://curated-scenario/SCN-SYN-026; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for internal_admin_console; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because admin actions may alter production configuration.,restricted,Administrative role required after VPN authentication.,Recovery and provider urgency may support operational discussion.,Synthetic scenario; threat context is not authoritative and requires review.
A,19,ER-5315CA6892F8,controlled_synthetic_scenario,CVSS:4.0/AV:A/AC:L/AT:N/PR:N/UI:P/VC:H/VI:L/VA:L/SC:H/SI:L/SA:L,7.1,HIGH,ot_monitoring_gateway,AR:H - availability is high because monitoring loss may affect operations.,"Network segmentation, allow-listing, monitoring, maintenance window constraints.",CR:M - confidentiality is medium because operational telemetry may be sensitive.,Operational technology monitoring gateway connected to industrial telemetry.,local://curated-scenario/SCN-SYN-015; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for ot_monitoring_gateway; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because telemetry may influence operational decisions.,internal,Restricted operator and service accounts.,Safety and recovery should be reviewed as supplemental context.,Synthetic scenario; threat context is not authoritative and requires review.
A,20,ER-AE03D4D1F232,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,6.0,MEDIUM,identity_provider,AR:H - availability is high because authentication outage affects many services.,"MFA, conditional access, monitoring, secrets rotation, incident response playbooks.",CR:H - confidentiality is high because identity data and tokens may be affected.,Identity and access management component used by multiple internal systems.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: identity_provider.,IR:H - integrity is high because identity compromise may affect trust decisions.,restricted,Authentication boundary component with privileged integration tokens.,Value density and provider urgency may be important because identity systems concentrate risk.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,21,ER-58EA8156CADA,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,public_api_gateway,AR:H - availability is high because partners and clients depend on the API.,"API gateway policies, rate limiting, logging, schema validation, token rotation.",CR:H - confidentiality is high because API traffic may expose sensitive data.,Public API gateway serving partner integrations and mobile clients.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_api_gateway.,IR:H - integrity is high because API actions may change business records.,public,API tokens and service-to-service credentials are used.,Provider urgency and automatable may support operational prioritization.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,22,ER-B9E6C344DC04,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L/SC:H/SI:H/SA:L,8.7,HIGH,database_server,AR:H - availability is high because dependent business processes may stop.,"Network isolation, backups, encryption at rest, privileged access logging.",CR:H - confidentiality is high because regulated records may be stored.,Backend database storing regulated business records.,local://curated-scenario/SCN-SYN-020; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for database_server; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because records are authoritative.,internal,Access limited to application service accounts and database administrators.,Recovery may be relevant because backups and restore time affect operational impact.,Synthetic scenario; threat context is not authoritative and requires review.
A,23,ER-F49918B8C24D,controlled_synthetic_scenario,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,6.8,MEDIUM,isolated_lab_system,AR:L - availability is low because outage has limited operational effect.,"Network isolation, no production data, rebuildable images.",CR:L - confidentiality is low because no production data is expected.,Non-production lab system isolated from production networks.,local://curated-scenario/SCN-SYN-022; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for isolated_lab_system; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:L - integrity is low because lab state is disposable.,isolated,"Local lab accounts only, no production credentials.",Recovery is likely favorable because lab systems are rebuildable.,Synthetic scenario; threat context is not authoritative and requires review.
A,24,ER-871B9D49C3EB,controlled_synthetic_scenario,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N,6.8,MEDIUM,public_api_gateway,AR:H - availability is high because partners and clients depend on the API.,"API gateway policies, rate limiting, logging, schema validation, token rotation.",CR:H - confidentiality is high because API traffic may expose sensitive data.,Public API gateway serving partner integrations and mobile clients.,local://curated-scenario/SCN-SYN-016; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for public_api_gateway; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because API actions may change business records.,public,API tokens and service-to-service credentials are used.,Provider urgency and automatable may support operational prioritization.,Synthetic scenario; threat context is not authoritative and requires review.
A,25,ER-E6E4B454302D,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,6.8,MEDIUM,identity_provider,AR:H - availability is high because authentication outage affects many services.,"MFA, conditional access, monitoring, secrets rotation, incident response playbooks.",CR:H - confidentiality is high because identity data and tokens may be affected.,Identity and access management component used by multiple internal systems.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: identity_provider.,IR:H - integrity is high because identity compromise may affect trust decisions.,restricted,Authentication boundary component with privileged integration tokens.,Value density and provider urgency may be important because identity systems concentrate risk.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,26,ER-F2E97443596C,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,9.3,CRITICAL,public_web_application,AR:M - availability is medium because outage affects customer access but has fallback operations.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,Customer-facing web application handling authenticated user data.,local://curated-scenario/SCN-SYN-025; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for public_web_application; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because application state may affect user transactions.,public,Externally reachable service with standard user accounts.,Automatable and provider urgency should be reviewed if official supplemental data exists.,Synthetic scenario; threat context is not authoritative and requires review.
A,27,ER-8E2DC59379E8,controlled_synthetic_scenario,CVSS:4.0/AV:A/AC:L/AT:N/PR:N/UI:P/VC:H/VI:L/VA:L/SC:H/SI:L/SA:L,7.1,HIGH,developer_workstation,AR:L - availability impact is usually limited to one endpoint.,"EDR, device management, least privilege, repository access controls.",CR:M - confidentiality is medium due to source code and secrets exposure risk.,"Developer endpoint with access to source code, build tools, and internal repositories.",local://curated-scenario/SCN-SYN-021; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for developer_workstation; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because code or pipeline changes may affect production.,restricted,Standard developer user with access to internal repositories and CI credentials.,Automatable may be relevant if exploitation can be scaled across endpoints.,Synthetic scenario; threat context is not authoritative and requires review.
A,28,ER-2A2DFBF34396,controlled_synthetic_scenario,CVSS:4.0/AV:P/AC:H/AT:P/PR:H/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2.1,LOW,internal_admin_console,AR:M - availability is medium due to operational dependency.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,Internal administrative interface restricted to VPN and privileged operators.,local://curated-scenario/SCN-SYN-018; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for internal_admin_console; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because admin actions may alter production configuration.,restricted,Administrative role required after VPN authentication.,Recovery and provider urgency may support operational discussion.,Synthetic scenario; threat context is not authoritative and requires review.
A,29,ER-1DD2C1247DA3,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,public_web_application,AR:M - availability is medium because outage affects customer access but has fallback operations.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,Customer-facing web application handling authenticated user data.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_web_application.,IR:H - integrity is high because application state may affect user transactions.,public,Externally reachable service with standard user accounts.,Automatable and provider urgency should be reviewed if official supplemental data exists.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,30,ER-13DD9E831E0F,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:L/VI:H/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,6.0,MEDIUM,internal_admin_console,AR:M - availability is medium due to operational dependency.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,Internal administrative interface restricted to VPN and privileged operators.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: internal_admin_console.,IR:H - integrity is high because admin actions may alter production configuration.,restricted,Administrative role required after VPN authentication.,Recovery and provider urgency may support operational discussion.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
